OTU_id	10	11	113	13	132	14	15	16	179	18	19	2	20	21	22	23	24	25	26	264	28	29	349	4	50	56	6	65	67	7	76	78	8	87	9	92	99
10	1.000	0.034	-0.066	0.005	0.059	0.826	0.110	-0.010	-0.046	0.120	-0.159	-0.021	0.129	0.124	0.179	0.156	0.022	-0.097	0.554	-0.007	0.050	-0.028	0.005	0.102	0.195	0.011	0.049	-0.044	-0.033	0.042	0.197	0.066	-0.029	-0.057	0.132	0.044	0.009
11	0.034	1.000	-0.002	0.163	0.059	0.078	-0.014	-0.042	0.089	0.121	-0.125	-0.050	0.004	0.158	0.138	-0.063	0.058	-0.043	0.011	0.016	-0.007	0.111	-0.034	-0.064	-0.030	0.037	-0.102	0.141	-0.024	-0.005	0.058	-0.032	-0.013	0.088	0.030	0.048	0.040
113	-0.066	-0.002	1.000	-0.058	0.009	0.002	-0.060	0.132	-0.028	-0.020	0.105	-0.141	-0.019	0.103	-0.101	-0.069	-0.009	-0.050	-0.068	-0.018	0.133	0.043	0.015	-0.004	0.045	0.108	-0.131	0.065	-0.066	0.152	0.169	0.071	0.069	0.160	0.105	-0.015	0.005
13	0.005	0.163	-0.058	1.000	-0.011	0.027	-0.049	-0.124	0.151	-0.087	-0.142	-0.344	-0.075	-0.025	-0.055	-0.149	-0.067	0.341	0.039	0.080	-0.062	0.042	-0.020	0.323	-0.093	-0.088	-0.194	0.017	0.238	0.299	-0.008	-0.057	0.064	0.030	0.160	-0.062	-0.038
132	0.059	0.059	0.009	-0.011	1.000	0.147	0.015	-0.088	0.081	-0.020	-0.031	-0.036	-0.024	0.187	0.106	0.017	0.133	-0.025	-0.007	0.056	-0.046	-0.029	-0.013	-0.021	0.091	0.169	-0.057	-0.015	-0.042	0.161	0.041	0.001	0.073	-0.030	0.112	-0.012	-0.051
14	0.826	0.078	0.002	0.027	0.147	1.000	0.168	-0.005	-0.042	0.181	-0.202	-0.116	0.192	0.209	0.187	0.262	0.130	-0.067	0.521	0.036	0.119	-0.010	-0.009	0.209	0.289	0.175	0.036	-0.019	0.009	0.061	0.278	0.094	-0.008	-0.047	0.232	0.120	0.010
15	0.110	-0.014	-0.060	-0.049	0.015	0.168	1.000	-0.074	-0.019	0.305	-0.079	-0.109	0.769	0.042	0.018	0.478	0.097	-0.062	-0.007	-0.029	0.084	0.083	-0.009	0.101	0.634	0.048	0.015	-0.023	-0.025	-0.043	0.015	0.711	-0.017	-0.007	0.130	0.066	0.008
16	-0.010	-0.042	0.132	-0.124	-0.088	-0.005	-0.074	1.000	-0.078	0.048	-0.255	-0.132	-0.063	0.023	0.036	-0.053	-0.080	-0.133	-0.049	-0.090	0.097	-0.048	-0.027	-0.044	-0.069	0.025	-0.049	-0.005	-0.077	-0.034	0.055	-0.116	-0.121	0.025	-0.099	-0.048	0.132
179	-0.046	0.089	-0.028	0.151	0.081	-0.042	-0.019	-0.078	1.000	-0.052	-0.042	-0.244	-0.038	-0.044	0.011	-0.065	0.016	0.220	0.029	0.392	-0.047	0.026	-0.020	0.044	-0.044	0.002	-0.058	0.041	0.376	0.085	-0.028	-0.031	0.131	-0.036	0.365	-0.012	0.035
