OTU_id	10	11	113	13	132	14	15	16	179	18	19	2	20	21	22	23	24	25	26	264	28	29	349	4	50	56	6	65	67	7	76	78	8	87	9	92	99
10	1.000	0.020	-0.066	0.029	-0.012	-0.059	-0.052	0.038	0.021	-0.020	0.014	0.008	-0.046	-0.126	-0.044	-0.046	0.019	0.096	-0.010	-0.014	0.038	0.008	-0.004	-0.040	-0.038	0.068	-0.056	0.131	-0.087	0.072	-0.071	0.042	0.067	0.022	-0.053	0.040	0.067
11	0.020	1.000	0.092	-0.139	0.003	-0.045	0.047	-0.027	-0.071	-0.083	0.017	0.004	-0.056	-0.075	-0.020	0.046	-0.075	0.102	0.052	-0.036	0.065	-0.005	-0.030	-0.044	0.015	0.051	0.099	0.051	-0.077	0.032	0.010	0.090	-0.073	-0.094	0.002	0.034	-0.065
113	-0.066	0.092	1.000	-0.064	-0.037	-0.106	0.039	-0.188	0.070	-0.018	-0.010	0.090	-0.020	0.013	0.039	-0.026	-0.012	-0.055	-0.017	-0.023	0.033	-0.004	0.037	-0.029	-0.004	0.011	0.094	0.011	-0.045	0.092	0.001	0.021	0.017	-0.012	-0.041	-0.004	-0.009
13	0.029	-0.139	-0.064	1.000	-0.065	0.009	0.062	0.063	0.018	0.047	-0.066	-0.019	0.068	0.033	-0.020	-0.045	0.079	-0.013	-0.028	0.002	-0.042	0.072	-0.007	0.092	0.021	0.080	-0.084	-0.051	-0.013	-0.129	0.003	0.029	-0.021	0.084	0.118	-0.048	0.020
132	-0.012	0.003	-0.037	-0.065	1.000	-0.066	-0.032	0.008	-0.016	0.074	0.063	0.002	-0.023	-0.026	0.017	0.035	0.010	-0.015	0.108	-0.042	0.030	-0.033	-0.033	0.055	-0.039	0.002	-0.039	0.011	0.012	0.019	-0.081	0.001	0.062	-0.037	0.019	0.031	-0.018
14	-0.059	-0.045	-0.106	0.009	-0.066	1.000	0.101	0.043	-0.050	0.071	0.040	-0.142	0.036	0.007	0.058	-0.099	-0.010	-0.027	0.012	0.001	0.042	-0.061	-0.031	0.016	0.058	0.004	0.061	-0.029	-0.013	0.054	0.055	-0.044	-0.051	-0.010	-0.022	0.037	0.046
15	-0.052	0.047	0.039	0.062	-0.032	0.101	1.000	0.092	-0.001	-0.028	-0.047	0.044	-0.026	-0.036	-0.046	0.027	-0.007	0.019	-0.035	0.009	-0.043	-0.090	0.045	0.018	-0.101	-0.000	0.033	-0.013	0.012	0.007	-0.040	-0.022	-0.018	-0.002	0.002	0.002	0.004
16	0.038	-0.027	-0.188	0.063	0.008	0.043	0.092	1.000	-0.053	-0.027	0.015	-0.037	0.041	0.061	0.059	0.067	-0.012	-0.008	0.098	-0.015	-0.033	-0.007	0.013	-0.023	-0.088	-0.064	0.029	-0.059	0.005	-0.124	-0.080	0.008	0.024	0.014	-0.054	0.019	0.058
179	0.021	-0.071	0.070	0.018	-0.016	-0.050	-0.001	-0.053	1.000	0.032	0.040	-0.048	-0.013	-0.031	0.007	0.010	-0.016	-0.014	-0.012	-0.011	-0.040	-0.006	0.000	-0.011	-0.024	0.031	-0.050	-0.013	0.046	0.056	0.027	-0.006	0.051	0.033	0.007	-0.025	0.109
18	-0.020	-0.083	-0.018	0.047	0.074	0.071	-0.028	-0.027	0.032	1.000	-0.053	-0.072	-0.060	0.074	0.036	-0.027	-0.001	-0.084	-0.071	-0.011	0.014	-0.081	-0.023	0.107	0.025	0.053	0.007	-0.055	-0.010	0.096	0.016	0.006	-0.011	0.006	0.163	-0.004	-0.042
