OTU_id	10	105	109	11	112	113	117	120	124	125	129	13	133	14	16	178	18	188	19	195	2	20	201	203	21	22	24	25	26	28	29	33	35	36	37	38	4	444	48	50	51	54	55	56	6	61	65	67	68	7	71	74	75	8	82	87	9	90	94	97
10	1.000	-0.007	-0.058	-0.054	-0.082	-0.055	0.003	-0.036	-0.074	0.013	-0.059	-0.079	0.025	-0.043	-0.108	0.086	-0.040	-0.031	-0.066	-0.053	0.025	-0.100	-0.047	-0.010	-0.045	-0.058	0.014	-0.079	-0.065	-0.030	-0.022	-0.095	-0.071	0.033	0.005	-0.081	-0.189	0.027	0.081	-0.034	-0.028	-0.026	-0.055	-0.018	-0.132	-0.126	-0.049	-0.078	-0.056	-0.079	-0.071	0.016	-0.016	-0.120	0.001	-0.019	-0.105	-0.009	-0.059	0.021
105	-0.007	1.000	0.044	-0.073	-0.057	-0.089	0.173	0.142	0.097	-0.093	0.034	-0.002	-0.060	-0.021	-0.003	-0.026	-0.073	-0.002	0.128	0.092	-0.046	-0.094	-0.084	0.064	0.034	-0.023	-0.107	0.088	0.027	0.009	0.011	0.114	0.118	-0.010	0.021	0.037	0.053	-0.056	-0.027	0.297	0.003	0.055	-0.036	-0.015	-0.009	0.006	0.005	0.065	0.160	-0.001	0.097	0.106	-0.017	-0.145	0.047	-0.037	0.004	0.021	-0.062	0.007
109	-0.058	0.044	1.000	0.022	0.199	0.028	0.029	0.001	-0.044	-0.058	0.070	0.035	-0.055	0.052	-0.023	-0.042	0.034	0.104	0.044	-0.025	-0.064	-0.052	0.028	-0.006	0.107	0.033	-0.071	0.106	-0.067	0.304	0.007	0.070	-0.056	-0.056	-0.047	-0.039	-0.036	-0.007	-0.019	0.118	-0.071	0.013	0.023	-0.033	-0.097	0.056	-0.059	-0.054	0.007	0.055	-0.061	0.032	-0.026	0.133	0.083	0.180	-0.004	-0.035	0.099	-0.069
11	-0.054	-0.073	0.022	1.000	0.207	0.070	0.142	0.007	0.124	-0.062	0.010	0.083	0.002	0.004	-0.014	0.065	0.053	0.022	-0.054	-0.031	0.001	-0.064	-0.035	-0.088	0.058	-0.024	0.006	0.122	-0.000	-0.007	0.108	-0.015	-0.102	-0.048	-0.036	-0.080	-0.032	-0.022	0.110	0.062	-0.040	-0.021	0.136	0.002	-0.128	0.108	-0.026	-0.034	-0.018	0.072	0.034	0.005	0.102	0.027	0.248	0.098	-0.052	-0.019	0.161	-0.030
112	-0.082	-0.057	0.199	0.207	1.000	-0.037	0.022	0.195	0.067	-0.071	-0.013	-0.087	0.131	-0.024	0.035	-0.077	-0.013	-0.005	-0.027	-0.053	-0.108	-0.037	-0.014	-0.063	0.133	-0.038	-0.039	0.098	0.025	0.144	-0.092	0.004	0.016	0.016	0.036	-0.014	0.028	0.038	0.061	-0.033	-0.010	-0.035	0.062	-0.042	-0.057	0.096	0.011	0.101	0.041	-0.033	-0.061	-0.008	0.074	0.022	0.167	-0.026	0.079	-0.032	0.091	-0.049
113	-0.055	-0.089	0.028	0.070	-0.037	1.000	0.019	-0.077	0.050	0.009	0.059	0.078	-0.032	0.186	0.035	-0.055	0.121	0.040	-0.038	-0.007	-0.122	0.084	-0.058	-0.005	-0.015	-0.027	-0.018	-0.044	-0.036	0.053	0.099	-0.074	-0.013	0.080	-0.061	-0.017	-0.057	0.026	-0.021	-0.064	-0.024	-0.056	-0.013	-0.031	0.193	-0.063	-0.065	0.088	-0.043	0.016	-0.050	-0.002	0.066	-0.130	0.053	0.129	-0.131	-0.082	0.120	0.028
117	0.003	0.173	0.029	0.142	0.022	0.019	1.000	0.055	0.246	-0.035	-0.054	0.089	0.192	0.036	-0.025	-0.068	0.048	-0.055	0.012	0.232	0.044	0.076	-0.004	0.027	0.027	0.021	0.014	-0.033	-0.031	-0.059	0.117	0.001	-0.075	0.073	-0.072	-0.004	-0.015	-0.024	0.112	0.070	0.014	-0.041	0.008	-0.105	-0.085	0.067	0.058	0.020	-0.007	0.089	0.092	0.092	-0.019	-0.073	0.040	-0.010	-0.015	0.006	0.092	0.004
120	-0.036	0.142	0.001	0.007	0.195	-0.077	0.055	1.000	-0.053	-0.023	0.041	-0.065	0.001	0.077	0.081	0.035	-0.004	-0.043	0.135	-0.089	-0.047	0.074	-0.039	0.057	0.007	-0.061	-0.046	-0.050	-0.053	0.046	-0.044	0.103	-0.049	-0.053	0.001	-0.048	0.020	-0.011	0.023	0.027	-0.053	0.085	0.048	-0.049	0.000	-0.019	-0.042	-0.067	0.160	-0.026	-0.004	0.046	0.021	-0.053	0.046	0.024	0.016	0.074	-0.029	-0.032
124	-0.074	0.097	-0.044	0.124	0.067	0.050	0.246	-0.053	1.000	-0.027	0.078	0.112	-0.016	0.038	0.063	-0.040	0.013	-0.035	-0.039	0.126	-0.026	0.000	0.015	-0.008	0.128	0.057	-0.044	0.018	-0.044	-0.105	0.061	0.025	-0.022	0.019	-0.002	0.059	0.053	-0.028	0.001	0.104	0.158	-0.046	0.040	-0.057	-0.042	0.078	0.094	0.062	-0.011	-0.007	0.016	0.024	-0.012	-0.069	0.021	0.006	-0.030	-0.056	0.016	0.019
125	0.013	-0.093	-0.058	-0.062	-0.071	0.009	-0.035	-0.023	-0.027	1.000	-0.044	0.064	-0.023	0.045	-0.035	-0.027	0.042	-0.038	-0.048	-0.053	-0.017	0.062	-0.038	-0.069	-0.013	0.012	-0.017	0.004	-0.027	0.044	-0.005	-0.025	0.125	-0.017	0.023	0.036	-0.072	0.017	0.001	0.003	0.008	0.092	0.186	-0.015	0.038	0.150	-0.055	-0.079	-0.053	-0.067	-0.015	-0.065	-0.040	-0.054	0.077	0.117	-0.036	0.054	0.035	0.043
129	-0.059	0.034	0.070	0.010	-0.013	0.059	-0.054	0.041	0.078	-0.044	1.000	0.132	0.053	0.020	0.008	-0.006	-0.007	0.182	-0.044	-0.041	-0.119	-0.055	-0.046	-0.059	0.003	-0.040	0.011	0.060	0.123	-0.016	-0.009	0.337	-0.004	-0.030	-0.009	-0.031	0.018	-0.057	-0.102	-0.054	-0.016	0.142	0.120	0.094	0.019	-0.019	0.051	0.041	-0.020	0.015	-0.051	0.061	0.059	-0.128	0.098	-0.018	0.024	-0.055	0.046	-0.028
13	-0.079	-0.002	0.035	0.083	-0.087	0.078	0.089	-0.065	0.112	0.064	0.132	1.000	-0.011	0.020	0.033	0.048	-0.026	0.036	-0.032	0.205	0.072	0.024	0.141	0.018	0.107	-0.078	-0.093	0.006	-0.003	0.069	0.024	-0.008	0.083	-0.042	-0.068	0.046	-0.068	-0.075	-0.044	0.050	0.125	-0.071	0.005	-0.024	-0.051	0.119	0.046	0.052	-0.005	-0.002	0.007	-0.010	0.032	-0.162	-0.089	-0.009	-0.147	-0.069	0.087	0.041
133	0.025	-0.060	-0.055	0.002	0.131	-0.032	0.192	0.001	-0.016	-0.023	0.053	-0.011	1.000	-0.049	-0.056	-0.019	0.016	-0.029	-0.060	-0.018	0.010	0.017	-0.067	-0.068	-0.042	0.045	0.251	-0.019	0.022	0.050	0.061	0.064	-0.047	0.273	0.042	-0.034	-0.028	-0.068	0.160	-0.044	0.039	0.031	0.011	-0.010	-0.129	0.029	0.043	0.139	-0.068	0.106	-0.017	-0.029	0.014	-0.036	-0.046	0.082	0.038	-0.049	-0.078	-0.033
14	-0.043	-0.021	0.052	0.004	-0.024	0.186	0.036	0.077	0.038	0.045	0.020	0.020	-0.049	1.000	0.004	0.010	0.003	0.005	-0.092	-0.001	-0.111	-0.053	-0.061	0.027	0.047	-0.071	-0.057	0.035	0.005	-0.006	0.070	-0.030	0.050	-0.012	-0.042	-0.034	-0.067	0.058	0.118	-0.036	0.079	-0.004	0.137	-0.078	-0.114	-0.056	-0.025	0.082	-0.059	-0.067	-0.008	-0.020	-0.045	-0.169	0.001	0.027	-0.148	0.108	0.017	-0.030
