OTU_id	100	101	103	114	116	118	130	142	148	163	166	17	173	176	184	191	198	2	205	208	217	218	22	242	26	269	293	3	343	400	423	43	47	48	6	63	66	88	9
100	1.000	-0.210	-0.313	0.264	0.122	0.510	-0.129	-0.233	-0.147	0.393	-0.104	-0.098	0.165	-0.108	-0.052	-0.050	-0.085	-0.173	-0.051	-0.120	0.453	0.133	-0.103	0.175	-0.032	0.250	0.232	-0.254	-0.120	-0.181	0.092	-0.145	0.230	0.335	-0.083	0.358	0.232	-0.137	0.016
101	-0.210	1.000	0.248	-0.110	0.079	-0.168	0.103	0.154	-0.021	-0.185	0.024	0.033	-0.138	0.076	0.031	0.034	0.207	0.065	0.036	0.075	-0.136	-0.007	0.109	-0.061	0.044	-0.101	-0.189	0.201	0.088	0.115	-0.059	0.246	-0.193	-0.146	0.030	-0.198	-0.073	0.084	0.116
103	-0.313	0.248	1.000	0.088	0.062	-0.237	0.172	0.382	0.035	-0.272	0.086	0.035	-0.214	0.175	-0.046	-0.053	0.259	0.274	0.040	0.046	-0.232	0.028	0.057	-0.054	0.083	-0.228	-0.184	0.071	0.127	0.096	-0.123	0.188	-0.155	-0.258	0.101	-0.245	-0.009	0.163	0.027
114	0.264	-0.110	0.088	1.000	0.123	0.277	-0.115	-0.059	-0.202	0.174	-0.160	-0.126	0.039	0.036	-0.206	-0.243	0.116	0.052	0.116	-0.192	0.197	0.065	-0.111	0.040	-0.006	-0.014	0.017	-0.403	-0.074	-0.207	0.016	-0.126	0.211	0.090	-0.146	0.303	0.253	-0.110	-0.152
116	0.122	0.079	0.062	0.123	1.000	0.204	-0.164	0.038	-0.157	0.130	-0.034	-0.137	-0.101	-0.033	-0.099	-0.068	0.113	-0.119	-0.135	0.092	0.029	0.435	-0.172	0.331	0.170	-0.001	0.019	-0.229	-0.100	-0.146	-0.113	0.059	-0.056	0.040	-0.111	0.126	0.315	0.063	0.125
118	0.510	-0.168	-0.237	0.277	0.204	1.000	-0.176	-0.176	-0.210	0.493	-0.085	-0.021	0.248	-0.077	-0.033	-0.104	-0.013	-0.183	-0.036	0.051	0.445	0.229	-0.122	0.237	0.027	0.205	0.258	-0.364	-0.123	-0.174	0.176	-0.096	0.245	0.381	-0.109	0.532	0.333	-0.063	0.023
130	-0.129	0.103	0.172	-0.115	-0.164	-0.176	1.000	0.113	0.166	-0.128	0.145	-0.073	-0.033	0.097	0.077	0.041	0.043	0.108	0.097	0.036	-0.086	-0.128	0.674	-0.055	-0.010	-0.041	-0.013	0.270	0.432	0.428	-0.027	0.017	-0.104	-0.088	0.174	-0.130	-0.172	-0.066	0.036
142	-0.233	0.154	0.382	-0.059	0.038	-0.176	0.113	1.000	0.085	-0.206	0.033	0.055	-0.139	0.036	-0.013	-0.077	0.190	0.241	0.017	0.044	-0.164	0.127	0.059	0.012	0.086	-0.183	-0.187	0.023	0.094	0.113	-0.161	0.162	-0.022	-0.183	0.030	-0.175	-0.047	0.038	0.007
148	-0.147	-0.021	0.035	-0.202	-0.157	-0.210	0.166	0.085	1.000	-0.127	0.088	0.206	-0.016	0.092	0.122	0.168	-0.048	0.034	0.130	0.077	-0.139	-0.161	0.134	-0.144	-0.007	-0.038	-0.069	0.355	0.075	0.136	0.013	-0.047	0.007	-0.146	0.116	-0.154	-0.152	0.016	0.067
163	0.393	-0.185	-0.272	0.174	0.130	0.493	-0.128	-0.206	-0.127	1.000	-0.051	-0.009	0.239	-0.098	-0.002	-0.070	-0.056	-0.167	-0.025	-0.031	0.358	0.181	-0.060	0.223	-0.115	0.249	0.231	-0.259	-0.084	-0.165	0.148	-0.091	0.164	0.361	-0.081	0.420	0.197	-0.069	-0.074
166	-0.104	0.024	0.086	-0.160	-0.034	-0.085	0.145	0.033	0.088	-0.051	1.000	0.126	-0.095	0.033	0.079	0.344	-0.089	0.052	-0.135	-0.081	-0.107	-0.036	0.083	0.003	-0.016	-0.059	-0.076	0.149	0.103	0.402	-0.077	-0.017	-0.034	-0.049	0.060	-0.098	-0.133	0.543	-0.016
17	-0.098	0.033	0.035	-0.126	-0.137	-0.021	-0.073	0.055	0.206	-0.009	0.126	1.000	0.041	0.033	0.061	0.029	-0.043	0.000	0.047	0.041	-0.038	-0.102	-0.051	-0.132	-0.070	-0.007	-0.055	0.121	0.016	-0.028	0.057	0.033	-0.001	-0.059	0.068	-0.083	-0.172	0.156	0.073
173	0.165	-0.138	-0.214	0.039	-0.101	0.248	-0.033	-0.139	-0.016	0.239	-0.095	0.041	1.000	-0.128	-0.006	0.001	-0.021	-0.049	-0.036	-0.084	0.253	-0.084	-0.002	-0.057	-0.135	0.277	0.023	-0.083	-0.014	-0.080	0.299	-0.101	-0.028	0.142	-0.047	0.169	-0.001	-0.105	-0.037
176	-0.108	0.076	0.175	0.036	-0.033	-0.077	0.097	0.036	0.092	-0.098	0.033	0.033	-0.128	1.000	0.012	-0.038	0.107	0.099	0.037	0.098	-0.089	0.023	0.028	-0.004	-0.040	-0.145	-0.147	0.012	-0.009	0.064	-0.019	-0.017	0.014	-0.116	-0.095	-0.073	-0.046	0.066	0.022
184	-0.052	0.031	-0.046	-0.206	-0.099	-0.033	0.077	-0.013	0.122	-0.002	0.079	0.061	-0.006	0.012	1.000	0.160	-0.122	-0.032	-0.054	-0.007	-0.024	-0.086	0.079	-0.091	0.043	0.013	-0.016	0.163	0.043	0.104	0.014	-0.021	-0.112	-0.005	0.026	-0.101	-0.205	0.111	-0.054
191	-0.050	0.034	-0.053	-0.243	-0.068	-0.104	0.041	-0.077	0.168	-0.070	0.344	0.029	0.001	-0.038	0.160	1.000	-0.168	-0.009	0.004	-0.091	-0.100	-0.120	0.056	-0.139	0.017	-0.033	-0.027	0.198	0.039	0.230	-0.012	-0.051	0.028	-0.075	0.125	-0.136	-0.230	0.319	0.006
198	-0.085	0.207	0.259	0.116	0.113	-0.013	0.043	0.190	-0.048	-0.056	-0.089	-0.043	-0.021	0.107	-0.122	-0.168	1.000	0.123	0.008	0.021	-0.053	0.143	-0.078	0.023	0.019	-0.083	-0.197	-0.020	-0.096	0.014	-0.031	0.172	-0.162	-0.072	-0.139	-0.064	0.144	0.017	0.061
2	-0.173	0.065	0.274	0.052	-0.119	-0.183	0.108	0.241	0.034	-0.167	0.052	0.000	-0.049	0.099	-0.032	-0.009	0.123	1.000	0.091	-0.087	-0.115	-0.073	0.043	-0.074	-0.100	-0.068	-0.097	0.085	0.082	0.116	-0.032	0.098	-0.095	-0.158	0.254	-0.169	-0.133	0.124	0.028
205	-0.051	0.036	0.040	0.116	-0.135	-0.036	0.097	0.017	0.130	-0.025	-0.135	0.047	-0.036	0.037	-0.054	0.004	0.008	0.091	1.000	0.008	-0.020	-0.133	0.100	-0.142	-0.044	-0.114	-0.058	-0.040	0.066	-0.066	-0.010	0.034	0.284	-0.114	0.044	-0.072	0.049	-0.102	-0.038
208	-0.120	0.075	0.046	-0.192	0.092	0.051	0.036	0.044	0.077	-0.031	-0.081	0.041	-0.084	0.098	-0.007	-0.091	0.021	-0.087	0.008	1.000	-0.106	0.060	0.023	0.045	0.166	-0.077	0.026	0.056	0.016	-0.031	-0.110	0.138	-0.115	-0.066	0.017	-0.004	0.046	-0.037	0.119
217	0.453	-0.136	-0.232	0.197	0.029	0.445	-0.086	-0.164	-0.139	0.358	-0.107	-0.038	0.253	-0.089	-0.024	-0.100	-0.053	-0.115	-0.020	-0.106	1.000	-0.013	-0.059	0.086	-0.039	0.206	0.166	-0.172	-0.117	-0.114	0.180	-0.145	0.168	0.244	-0.088	0.358	0.161	-0.090	-0.022
218	0.133	-0.007	0.028	0.065	0.435	0.229	-0.128	0.127	-0.161	0.181	-0.036	-0.102	-0.084	0.023	-0.086	-0.120	0.143	-0.073	-0.133	0.060	-0.013	1.000	-0.158	0.367	0.103	-0.015	0.031	-0.270	-0.128	-0.070	-0.121	0.132	0.010	0.093	-0.173	0.139	0.268	-0.010	0.012
22	-0.103	0.109	0.057	-0.111	-0.172	-0.122	0.674	0.059	0.134	-0.060	0.083	-0.051	-0.002	0.028	0.079	0.056	-0.078	0.043	0.100	0.023	-0.059	-0.158	1.000	-0.087	0.047	-0.027	0.031	0.281	0.533	0.265	0.020	0.010	-0.061	-0.033	0.181	-0.073	-0.194	-0.125	0.003
