OTU_id	1	100	114	116	118	130	142	148	163	173	176	184	2	205	208	217	218	22	221	242	26	269	293	3	301	47	63	66
1	1.000	0.005	-0.028	-0.016	0.049	-0.031	-0.044	0.043	0.002	0.007	-0.046	0.113	0.041	-0.062	-0.018	-0.065	-0.062	0.055	0.049	0.012	0.009	-0.017	0.035	-0.110	-0.024	0.002	0.060	0.030
100	0.005	1.000	-0.080	-0.032	-0.008	0.039	0.006	-0.057	-0.014	0.033	-0.040	-0.039	-0.023	-0.009	-0.010	-0.026	-0.065	0.045	0.107	0.021	-0.005	-0.004	0.022	0.030	-0.060	0.096	0.007	-0.028
114	-0.028	-0.080	1.000	-0.037	0.020	-0.020	0.173	-0.131	-0.041	0.004	-0.039	0.070	-0.064	0.031	0.086	-0.039	-0.019	0.022	-0.018	-0.025	0.046	-0.033	-0.070	0.052	-0.018	0.036	0.073	0.006
116	-0.016	-0.032	-0.037	1.000	0.015	0.104	0.025	0.215	0.088	0.008	-0.010	-0.062	0.006	-0.016	-0.007	-0.007	-0.019	-0.061	-0.100	0.009	0.025	0.060	0.021	0.045	0.010	-0.122	-0.078	0.072
118	0.049	-0.008	0.020	0.015	1.000	-0.164	-0.022	-0.027	-0.043	0.050	-0.046	0.001	0.036	-0.006	-0.058	0.193	0.030	-0.043	0.047	-0.009	-0.043	0.026	0.030	0.105	-0.079	0.024	0.020	0.020
130	-0.031	0.039	-0.020	0.104	-0.164	1.000	0.019	0.093	0.016	-0.010	0.042	-0.073	-0.072	0.043	0.020	0.045	-0.024	0.083	0.044	-0.054	0.023	-0.034	0.020	-0.116	0.027	-0.025	0.032	-0.018
142	-0.044	0.006	0.173	0.025	-0.022	0.019	1.000	-0.036	-0.013	0.027	-0.011	-0.001	-0.135	-0.048	-0.082	-0.052	-0.042	-0.029	-0.050	0.103	0.001	-0.023	0.047	-0.039	-0.017	0.026	-0.064	0.103
148	0.043	-0.057	-0.131	0.215	-0.027	0.093	-0.036	1.000	-0.026	-0.004	-0.022	0.134	0.055	0.055	-0.019	-0.068	0.086	-0.043	-0.005	-0.047	0.047	0.022	0.031	-0.179	0.160	-0.079	-0.020	0.291
163	0.002	-0.014	-0.041	0.088	-0.043	0.016	-0.013	-0.026	1.000	0.010	0.080	-0.091	0.001	-0.039	-0.033	0.104	0.031	0.014	-0.033	-0.003	-0.049	-0.021	-0.027	0.084	0.002	0.056	-0.078	0.008
173	0.007	0.033	0.004	0.008	0.050	-0.010	0.027	-0.004	0.010	1.000	-0.008	-0.027	-0.040	-0.013	0.006	0.007	-0.020	-0.030	-0.015	0.033	-0.030	-0.054	0.026	0.003	-0.017	-0.047	-0.010	0.002
176	-0.046	-0.040	-0.039	-0.010	-0.046	0.042	-0.011	-0.022	0.080	-0.008	1.000	-0.024	0.001	-0.037	-0.039	0.085	-0.011	-0.029	0.011	0.045	-0.059	-0.017	0.065	0.054	-0.013	-0.005	-0.033	-0.003
184	0.113	-0.039	0.070	-0.062	0.001	-0.073	-0.001	0.134	-0.091	-0.027	-0.024	1.000	0.013	-0.019	0.060	-0.051	-0.070	0.007	-0.010	-0.047	-0.016	-0.077	-0.003	-0.035	-0.005	0.058	0.105	0.065
2	0.041	-0.023	-0.064	0.006	0.036	-0.072	-0.135	0.055	0.001	-0.040	0.001	0.013	1.000	0.109	0.019	0.060	0.064	-0.045	-0.014	0.102	0.000	0.012	-0.041	0.001	0.013	-0.046	-0.016	-0.056
205	-0.062	-0.009	0.031	-0.016	-0.006	0.043	-0.048	0.055	-0.039	-0.013	-0.037	-0.019	0.109	1.000	0.069	-0.013	0.002	-0.006	-0.038	0.045	-0.078	0.036	0.013	0.019	0.112	-0.075	-0.057	0.005
208	-0.018	-0.010	0.086	-0.007	-0.058	0.020	-0.082	-0.019	-0.033	0.006	-0.039	0.060	0.019	0.069	1.000	0.031	-0.055	-0.110	0.037	-0.013	0.060	0.005	-0.047	0.046	0.007	-0.026	0.046	-0.038
217	-0.065	-0.026	-0.039	-0.007	0.193	0.045	-0.052	-0.068	0.104	0.007	0.085	-0.051	0.060	-0.013	0.031	1.000	-0.038	0.034	-0.018	0.021	-0.040	-0.041	-0.010	0.037	-0.012	0.009	0.058	-0.016
218	-0.062	-0.065	-0.019	-0.019	0.030	-0.024	-0.042	0.086	0.031	-0.020	-0.011	-0.070	0.064	0.002	-0.055	-0.038	1.000	-0.020	-0.014	-0.026	-0.004	0.035	-0.001	0.025	0.147	-0.017	-0.028	0.047
22	0.055	0.045	0.022	-0.061	-0.043	0.083	-0.029	-0.043	0.014	-0.030	-0.029	0.007	-0.045	-0.006	-0.110	0.034	-0.020	1.000	-0.065	-0.052	0.004	-0.058	0.006	0.026	0.001	0.079	-0.019	-0.038
221	0.049	0.107	-0.018	-0.100	0.047	0.044	-0.050	-0.005	-0.033	-0.015	0.011	-0.010	-0.014	-0.038	0.037	-0.018	-0.014	-0.065	1.000	-0.011	0.029	-0.039	0.049	0.024	0.003	0.127	-0.010	-0.065
242	0.012	0.021	-0.025	0.009	-0.009	-0.054	0.103	-0.047	-0.003	0.033	0.045	-0.047	0.102	0.045	-0.013	0.021	-0.026	-0.052	-0.011	1.000	0.020	0.048	0.067	-0.083	-0.017	0.106	-0.005	-0.039
26	0.009	-0.005	0.046	0.025	-0.043	0.023	0.001	0.047	-0.049	-0.030	-0.059	-0.016	0.000	-0.078	0.060	-0.040	-0.004	0.004	0.029	0.020	1.000	-0.033	-0.056	-0.071	0.002	0.073	-0.003	0.006
269	-0.017	-0.004	-0.033	0.060	0.026	-0.034	-0.023	0.022	-0.021	-0.054	-0.017	-0.077	0.012	0.036	0.005	-0.041	0.035	-0.058	-0.039	0.048	-0.033	1.000	0.011	-0.033	0.057	-0.074	-0.013	0.002
293	0.035	0.022	-0.070	0.021	0.030	0.020	0.047	0.031	-0.027	0.026	0.065	-0.003	-0.041	0.013	-0.047	-0.010	-0.001	0.006	0.049	0.067	-0.056	0.011	1.000	0.005	0.042	-0.057	-0.013	0.023
3	-0.110	0.030	0.052	0.045	0.105	-0.116	-0.039	-0.179	0.084	0.003	0.054	-0.035	0.001	0.019	0.046	0.037	0.025	0.026	0.024	-0.083	-0.071	-0.033	0.005	1.000	-0.045	0.050	0.038	-0.030
301	-0.024	-0.060	-0.018	0.010	-0.079	0.027	-0.017	0.160	0.002	-0.017	-0.013	-0.005	0.013	0.112	0.007	-0.012	0.147	0.001	0.003	-0.017	0.002	0.057	0.042	-0.045	1.000	-0.072	0.017	0.065
47	0.002	0.096	0.036	-0.122	0.024	-0.025	0.026	-0.079	0.056	-0.047	-0.005	0.058	-0.046	-0.075	-0.026	0.009	-0.017	0.079	0.127	0.106	0.073	-0.074	-0.057	0.050	-0.072	1.000	-0.093	-0.050
63	0.060	0.007	0.073	-0.078	0.020	0.032	-0.064	-0.020	-0.078	-0.010	-0.033	0.105	-0.016	-0.057	0.046	0.058	-0.028	-0.019	-0.010	-0.005	-0.003	-0.013	-0.013	0.038	0.017	-0.093	1.000	-0.005
66	0.030	-0.028	0.006	0.072	0.020	-0.018	0.103	0.291	0.008	0.002	-0.003	0.065	-0.056	0.005	-0.038	-0.016	0.047	-0.038	-0.065	-0.039	0.006	0.002	0.023	-0.030	0.065	-0.050	-0.005	1.000
