OTU_id	1	10	101	103	11	111	114	12	123	13	131	137	14	142	16	169	17	176	18	188	19	2	21	223	226	25	27	3	31	335	353	38	394	4	40	419	42	43	49	5	58	59	6	62	64	66	69	7	70	8	85	86	9	91
1	1.000	0.024	0.092	0.027	-0.000	0.123	-0.012	-0.040	-0.013	0.172	-0.018	0.039	-0.044	-0.084	0.157	-0.074	0.035	0.024	0.017	-0.022	-0.011	0.070	-0.014	-0.000	-0.003	-0.007	-0.051	-0.043	0.059	-0.020	0.070	0.040	-0.062	0.061	-0.029	-0.013	-0.009	-0.101	-0.017	0.080	-0.057	0.038	-0.061	-0.072	0.010	0.025	0.118	-0.008	-0.088	0.025	-0.076	-0.015	-0.180	-0.059
10	0.024	1.000	0.039	-0.021	-0.035	0.047	0.015	-0.014	-0.000	0.029	-0.008	0.000	0.034	0.005	0.026	-0.083	-0.081	-0.046	0.028	-0.020	0.050	-0.040	0.006	0.020	0.050	-0.027	0.008	0.104	-0.004	0.032	0.010	-0.018	-0.004	0.088	-0.056	0.009	-0.048	0.042	0.039	0.024	0.056	-0.023	-0.025	-0.039	-0.043	-0.119	0.064	0.011	-0.069	0.010	-0.037	0.024	-0.011	-0.008
101	0.092	0.039	1.000	0.022	-0.026	0.060	-0.007	-0.012	0.035	-0.007	-0.033	-0.051	-0.007	-0.058	0.050	-0.052	0.068	-0.069	-0.038	0.024	-0.031	0.101	-0.032	-0.075	-0.046	0.040	0.011	-0.070	-0.026	-0.003	0.013	-0.015	-0.047	0.010	0.039	0.031	-0.058	0.096	-0.016	0.109	0.072	-0.017	-0.043	0.067	-0.025	0.034	0.007	-0.057	-0.030	0.023	0.068	-0.026	-0.097	0.019
103	0.027	-0.021	0.022	1.000	0.003	-0.041	-0.037	-0.011	-0.042	0.059	-0.064	-0.010	0.061	-0.009	0.046	0.051	-0.026	0.063	0.083	-0.005	-0.100	0.015	-0.034	0.099	0.053	-0.021	-0.058	-0.049	-0.070	-0.080	-0.019	-0.014	0.046	0.008	0.044	0.014	0.055	0.001	0.012	0.049	0.041	-0.015	-0.040	-0.096	-0.041	-0.008	0.073	-0.094	0.016	0.026	-0.050	0.102	-0.135	0.043
11	-0.000	-0.035	-0.026	0.003	1.000	0.024	0.023	-0.027	-0.021	-0.043	0.046	-0.012	-0.067	0.031	-0.100	0.010	0.023	-0.017	0.012	0.055	-0.052	0.133	0.038	0.051	0.023	0.043	-0.073	-0.109	-0.034	0.027	0.071	0.132	-0.053	0.047	-0.042	-0.007	0.108	0.107	0.095	0.006	-0.021	0.047	-0.041	0.042	-0.072	0.008	-0.064	-0.001	0.067	0.008	-0.068	0.016	0.014	-0.060
111	0.123	0.047	0.060	-0.041	0.024	1.000	-0.026	-0.092	-0.027	0.003	-0.044	-0.031	-0.056	0.037	0.003	-0.054	0.066	-0.030	-0.046	0.007	0.084	-0.054	-0.059	0.063	-0.031	0.101	0.033	-0.075	-0.039	-0.011	0.028	-0.034	-0.051	0.115	-0.027	0.044	-0.015	0.028	-0.001	0.181	-0.001	0.024	-0.008	0.003	0.035	-0.007	-0.010	0.049	0.013	0.007	0.040	-0.056	-0.084	0.013
114	-0.012	0.015	-0.007	-0.037	0.023	-0.026	1.000	-0.009	-0.002	-0.071	0.007	0.050	-0.002	-0.040	-0.024	0.071	0.037	0.004	-0.047	0.002	-0.038	-0.014	-0.016	-0.028	-0.022	-0.032	0.088	-0.015	0.012	-0.031	0.087	0.007	0.029	-0.019	-0.003	0.000	-0.032	-0.025	0.050	-0.071	0.011	0.058	0.002	-0.008	-0.047	0.050	-0.011	-0.034	0.054	-0.074	-0.049	0.029	0.087	0.043
12	-0.040	-0.014	-0.012	-0.011	-0.027	-0.092	-0.009	1.000	0.100	0.090	-0.100	-0.043	-0.015	0.001	0.019	-0.149	-0.031	-0.053	-0.020	-0.032	0.048	0.134	0.048	-0.048	-0.059	0.042	0.020	0.091	0.022	0.005	-0.042	0.034	-0.092	-0.038	0.047	-0.026	-0.019	0.004	-0.097	0.141	0.037	-0.011	-0.030	-0.034	0.096	-0.018	0.102	-0.009	0.099	0.066	-0.057	-0.100	0.057	-0.044
123	-0.013	-0.000	0.035	-0.042	-0.021	-0.027	-0.002	0.100	1.000	-0.031	0.074	0.116	-0.035	-0.034	0.059	-0.052	-0.108	-0.051	0.007	-0.018	0.023	0.069	-0.032	-0.030	0.016	0.010	-0.026	-0.029	-0.068	0.018	-0.040	-0.037	-0.029	-0.038	0.050	-0.001	0.040	0.041	-0.098	0.046	-0.027	0.043	-0.048	0.032	-0.029	-0.021	-0.014	0.121	0.105	0.029	-0.044	0.001	-0.057	0.030
