OTU_id	1	101	103	11	111	12	13	130	131	137	14	142	147	15	16	162	166	167	17	18	188	19	194	2	21	224	235	247	25	27	3	31	34	38	4	40	407	42	43	45	46	5	58	6	62	64	66	7	70	72	8	85	86	88	9
1	1.000	-0.171	-0.070	-0.161	-0.136	-0.339	-0.061	-0.203	-0.123	-0.068	-0.209	-0.235	0.007	-0.064	-0.100	-0.151	-0.263	-0.160	-0.168	-0.107	-0.109	-0.137	-0.187	-0.252	-0.231	-0.232	-0.164	-0.038	-0.174	-0.180	-0.128	-0.188	-0.187	0.044	-0.091	-0.274	-0.139	-0.030	-0.343	-0.129	0.019	-0.621	-0.193	-0.200	-0.078	0.010	-0.109	-0.131	-0.137	-0.180	-0.100	-0.156	-0.148	-0.101	-0.109
101	-0.171	1.000	-0.021	-0.018	0.002	0.109	-0.001	-0.001	-0.004	-0.002	0.017	0.016	-0.003	0.001	0.005	-0.004	0.056	0.014	-0.025	0.019	-0.009	0.046	0.013	0.007	-0.022	0.026	0.009	-0.016	0.041	0.036	-0.031	-0.002	0.086	0.002	-0.004	-0.021	0.023	-0.030	0.065	-0.011	-0.002	0.032	0.032	0.043	0.024	-0.010	0.062	-0.015	-0.030	-0.009	-0.010	0.025	0.210	0.003	-0.005
103	-0.070	-0.021	1.000	-0.033	-0.004	-0.044	-0.047	-0.009	-0.040	0.033	-0.045	-0.030	-0.015	-0.031	-0.015	0.310	-0.016	-0.016	-0.014	-0.015	-0.017	-0.015	-0.017	-0.021	-0.010	-0.016	0.032	-0.015	-0.028	-0.011	-0.013	-0.022	-0.023	-0.023	-0.029	0.243	-0.009	-0.040	-0.041	-0.028	-0.018	-0.059	-0.027	-0.027	-0.028	-0.017	-0.029	-0.025	-0.018	-0.019	-0.037	-0.018	-0.002	-0.018	-0.004
11	-0.161	-0.018	-0.033	1.000	0.064	0.017	-0.020	0.085	0.026	-0.036	0.027	0.037	0.004	-0.019	0.021	0.013	0.071	-0.024	-0.062	0.199	0.299	0.089	0.358	0.023	0.098	0.035	0.012	-0.037	0.005	0.114	-0.067	0.167	0.004	0.022	-0.015	-0.044	0.064	-0.029	0.001	-0.016	-0.020	0.225	-0.044	-0.037	-0.014	-0.034	0.002	-0.011	0.013	0.129	0.026	-0.011	0.018	-0.037	0.025
111	-0.136	0.002	-0.004	0.064	1.000	0.193	-0.027	0.238	0.037	-0.007	0.003	0.030	0.007	0.047	-0.022	-0.003	0.025	-0.015	-0.039	-0.011	0.051	0.064	0.029	0.033	-0.005	0.292	0.010	-0.018	-0.005	0.003	-0.020	0.239	-0.002	0.043	-0.008	-0.036	-0.001	0.052	-0.036	0.004	-0.007	0.102	0.045	0.111	-0.012	-0.031	0.040	-0.025	-0.040	-0.014	0.037	-0.017	0.001	-0.013	0.033
12	-0.339	0.109	-0.044	0.017	0.193	1.000	-0.057	0.138	0.082	-0.028	0.078	0.018	-0.024	-0.000	0.012	0.133	0.149	0.024	-0.049	-0.047	-0.041	-0.041	0.004	0.029	0.011	0.112	0.018	-0.035	-0.023	0.030	0.028	0.158	0.009	-0.008	0.019	-0.064	0.002	0.003	-0.044	-0.043	-0.002	-0.020	-0.035	0.040	0.009	0.054	0.214	0.195	0.051	-0.031	0.029	-0.006	0.174	0.172	-0.000
13	-0.061	-0.001	-0.047	-0.020	-0.027	-0.057	1.000	0.116	0.008	0.061	0.008	0.013	-0.005	-0.008	0.117	-0.035	0.031	-0.026	-0.064	-0.014	-0.045	0.090	0.010	0.119	-0.008	0.033	-0.026	0.146	0.015	0.010	0.270	0.019	-0.017	-0.048	-0.017	-0.040	0.234	0.007	0.093	-0.016	-0.003	0.028	-0.009	-0.015	0.012	-0.031	0.000	0.072	-0.046	-0.023	0.162	-0.038	0.059	-0.012	-0.040
130	-0.203	-0.001	-0.009	0.085	0.238	0.138	0.116	1.000	0.130	-0.032	0.149	0.063	-0.006	0.043	0.264	0.063	0.109	0.002	-0.057	0.025	0.025	0.242	0.050	0.014	0.065	0.263	0.162	-0.031	0.177	0.081	-0.024	0.168	0.135	-0.011	0.000	-0.022	0.291	0.067	0.237	0.022	0.081	0.010	0.182	0.001	0.078	-0.050	0.021	0.157	-0.032	-0.003	0.221	-0.037	0.075	0.174	0.121
131	-0.123	-0.004	-0.040	0.026	0.037	0.082	0.008	0.130	1.000	-0.024	0.065	0.292	0.009	0.139	0.369	0.004	0.075	0.015	-0.034	-0.016	0.046	0.008	0.016	0.003	-0.014	0.180	-0.025	0.024	-0.006	0.061	0.047	0.051	0.019	0.021	0.061	-0.058	0.065	0.034	-0.038	0.048	-0.019	0.140	0.029	0.017	-0.008	-0.050	0.011	0.135	-0.019	0.031	-0.026	-0.042	-0.001	0.044	0.028
