OTU_id	1	100	114	116	118	130	142	148	163	173	176	184	2	205	208	217	218	22	221	242	26	269	293	3	301	47	63	66
1	1.000	-0.111	-0.194	-0.137	-0.112	0.143	0.095	0.133	-0.096	0.056	0.043	0.084	0.075	0.076	0.119	-0.068	-0.096	0.163	0.064	-0.135	0.016	0.015	0.013	0.197	0.034	-0.121	-0.199	-0.142
100	-0.111	1.000	0.246	0.134	0.362	-0.166	-0.237	-0.169	0.275	0.120	-0.104	-0.091	-0.133	-0.124	-0.168	0.233	0.210	-0.125	-0.079	0.137	-0.172	0.062	0.024	-0.571	-0.034	0.072	0.241	0.150
114	-0.194	0.246	1.000	0.152	0.285	-0.142	-0.137	-0.146	0.133	-0.011	0.095	-0.082	-0.043	0.009	-0.187	0.129	0.136	-0.152	-0.210	0.103	-0.045	-0.052	-0.091	-0.615	-0.162	0.124	0.223	0.256
116	-0.137	0.134	0.152	1.000	0.301	-0.158	-0.120	-0.129	0.226	-0.009	-0.023	-0.092	-0.104	-0.130	0.005	0.057	0.318	-0.128	-0.146	0.271	0.109	-0.021	-0.115	-0.593	0.080	-0.023	0.178	0.170
118	-0.112	0.362	0.285	0.301	1.000	-0.127	-0.197	-0.220	0.375	0.064	-0.030	-0.101	-0.169	-0.089	-0.084	0.195	0.414	-0.129	-0.091	0.316	-0.011	0.081	0.014	-0.691	0.111	0.076	0.347	0.199
130	0.143	-0.166	-0.142	-0.158	-0.127	1.000	0.221	0.054	-0.104	0.028	0.048	0.187	0.094	0.151	0.124	-0.032	-0.153	0.558	0.094	-0.098	0.063	0.084	0.068	0.246	-0.011	-0.103	-0.176	-0.198
142	0.095	-0.237	-0.137	-0.120	-0.197	0.221	1.000	0.142	-0.241	-0.042	0.064	0.102	0.080	0.098	0.079	-0.178	-0.207	0.116	0.079	-0.156	0.082	-0.040	-0.106	0.063	0.045	0.051	-0.263	-0.020
148	0.133	-0.169	-0.146	-0.129	-0.220	0.054	0.142	1.000	-0.217	0.030	0.078	0.131	0.154	0.094	0.107	-0.087	-0.162	0.029	0.126	-0.158	0.050	-0.014	0.032	0.297	0.021	0.071	-0.151	-0.067
163	-0.096	0.275	0.133	0.226	0.375	-0.104	-0.241	-0.217	1.000	0.048	-0.119	-0.114	-0.193	-0.090	-0.188	0.129	0.315	-0.088	-0.077	0.269	-0.098	0.097	-0.028	-0.568	0.054	-0.009	0.221	0.120
