OTU_id	10	105	109	11	111	112	113	117	124	125	129	13	133	14	15	16	162	17	178	18	188	19	195	2	20	21	22	23	24	25	26	27	28	29	32	33	35	36	37	38	39	4	45	48	50	51	52	54	56	6	61	67	68	7	71	74	75	76	8	82	9	90	97	99
10	1.000	-0.034	0.213	-0.088	0.041	-0.037	0.065	-0.050	0.226	0.027	-0.113	-0.084	-0.096	-0.048	-0.012	0.055	0.153	-0.066	-0.019	-0.046	-0.036	-0.094	-0.023	-0.190	-0.035	-0.025	0.001	0.017	-0.000	0.115	-0.003	-0.069	-0.009	0.023	-0.007	0.065	-0.083	0.041	-0.057	-0.087	0.041	-0.093	-0.036	0.088	-0.067	-0.024	0.015	-0.095	-0.006	-0.054	-0.013	-0.156	0.024	-0.092	0.064	0.036	-0.088	-0.019	-0.004	-0.047	-0.023	-0.081	0.115	-0.064
105	-0.034	1.000	-0.028	0.068	0.009	-0.055	0.058	0.008	-0.064	-0.020	-0.016	-0.058	0.137	0.059	-0.006	-0.008	-0.032	-0.049	0.007	0.042	-0.043	-0.040	0.086	-0.066	-0.026	0.029	0.023	0.038	0.007	0.009	0.001	0.018	-0.016	0.001	-0.018	0.154	0.003	-0.073	-0.046	0.041	-0.002	0.091	0.042	-0.092	0.012	-0.041	-0.041	-0.047	0.006	-0.084	-0.014	-0.005	0.097	0.043	0.063	-0.048	0.035	-0.051	0.059	0.134	0.199	-0.080	-0.042	-0.039
109	0.213	-0.028	1.000	-0.006	-0.019	0.195	0.071	-0.027	0.173	0.008	-0.080	0.063	0.072	-0.016	0.002	-0.012	-0.020	-0.015	0.025	0.060	-0.024	0.003	0.131	-0.086	0.005	-0.032	0.103	-0.061	0.127	0.052	-0.065	0.053	-0.018	0.064	-0.054	0.006	0.009	0.128	0.000	-0.017	-0.012	-0.058	-0.013	0.090	0.010	0.093	0.159	0.035	0.140	0.033	0.033	-0.083	-0.002	-0.060	0.001	-0.021	-0.043	-0.008	0.004	0.007	-0.038	-0.039	0.104	-0.021
11	-0.088	0.068	-0.006	1.000	0.073	0.024	0.013	-0.023	-0.010	0.063	0.023	0.060	0.005	0.099	0.000	-0.019	-0.041	-0.015	0.053	0.171	0.019	-0.090	0.006	-0.209	0.167	0.068	0.015	0.080	0.106	0.031	0.033	0.139	0.014	-0.090	-0.021	-0.004	0.061	-0.005	-0.022	0.076	0.225	0.020	0.044	-0.027	-0.004	0.009	0.072	-0.029	-0.054	-0.075	0.111	-0.094	0.023	-0.145	0.079	0.052	-0.087	0.000	-0.060	-0.118	0.055	-0.042	-0.020	-0.004
111	0.041	0.009	-0.019	0.073	1.000	-0.040	0.116	0.066	-0.065	0.050	-0.032	-0.022	-0.054	0.078	-0.016	0.128	-0.017	-0.046	-0.068	-0.041	-0.032	-0.064	-0.032	-0.119	0.017	0.009	-0.047	0.001	-0.073	0.044	0.039	-0.049	-0.084	0.007	0.005	0.174	-0.013	-0.060	0.017	-0.008	-0.043	0.114	0.196	-0.076	-0.064	-0.032	-0.048	-0.038	0.053	0.041	-0.060	-0.073	0.019	-0.033	-0.030	-0.008	-0.080	-0.074	-0.031	0.010	-0.040	-0.069	-0.022	-0.036
112	-0.037	-0.055	0.195	0.024	-0.040	1.000	0.060	-0.033	0.021	-0.038	0.043	0.046	-0.007	-0.009	-0.005	-0.018	-0.030	0.003	0.202	-0.019	0.068	0.011	0.083	-0.117	-0.004	0.237	0.026	-0.034	0.007	0.130	-0.047	-0.011	0.121	-0.021	-0.022	0.139	0.035	-0.028	-0.026	0.016	-0.025	-0.005	-0.025	0.060	-0.060	0.090	0.063	0.078	0.123	0.036	0.135	-0.013	0.130	-0.035	-0.010	-0.016	0.003	-0.005	0.122	-0.006	0.011	-0.028	-0.051	-0.031
113	0.065	0.058	0.071	0.013	0.116	0.060	1.000	-0.058	0.040	-0.004	0.030	0.021	-0.077	0.122	-0.074	0.083	-0.025	-0.081	0.036	0.018	-0.028	-0.086	0.029	-0.130	-0.014	0.150	-0.103	0.009	-0.046	0.164	0.169	0.203	-0.050	0.020	-0.008	0.086	-0.078	0.175	-0.056	0.056	-0.024	0.068	-0.014	0.055	0.079	0.057	0.067	-0.042	0.009	-0.114	0.139	0.107	-0.064	-0.020	0.050	-0.093	-0.032	0.127	-0.052	0.160	-0.008	-0.102	0.038	0.078
117	-0.050	0.008	-0.027	-0.023	0.066	-0.033	-0.058	1.000	-0.043	-0.024	0.037	0.094	0.017	0.055	-0.006	0.131	0.030	-0.022	-0.028	-0.029	0.019	0.068	0.137	-0.175	-0.060	-0.078	-0.044	0.045	0.026	0.001	-0.029	-0.025	0.135	0.119	0.012	0.023	-0.059	-0.004	0.012	-0.036	-0.008	0.126	-0.032	0.057	0.074	-0.004	-0.012	0.050	0.020	-0.074	-0.024	-0.025	0.039	0.242	0.060	0.204	-0.027	-0.000	-0.037	0.095	-0.018	-0.052	-0.012	0.196
124	0.226	-0.064	0.173	-0.010	-0.065	0.021	0.040	-0.043	1.000	0.117	0.007	-0.020	0.024	0.167	-0.018	0.006	-0.033	0.018	0.118	0.075	-0.044	0.019	0.046	-0.051	0.020	-0.104	0.147	0.034	-0.025	0.074	-0.042	-0.005	-0.078	-0.001	-0.018	-0.041	-0.039	-0.005	-0.011	0.084	-0.060	-0.055	-0.034	0.107	0.045	-0.011	0.094	-0.061	0.012	-0.120	-0.027	-0.068	0.013	-0.092	0.180	0.044	-0.014	-0.014	0.169	0.077	-0.012	-0.055	0.004	-0.021
125	0.027	-0.020	0.008	0.063	0.050	-0.038	-0.004	-0.024	0.117	1.000	-0.073	0.076	0.013	-0.070	0.023	-0.069	-0.033	0.003	0.089	-0.013	-0.021	-0.019	0.010	-0.047	0.062	0.130	0.007	0.072	-0.028	0.057	-0.008	0.021	0.122	0.137	-0.007	0.019	-0.040	0.015	0.077	0.410	-0.030	0.065	-0.032	-0.004	-0.102	0.197	0.039	-0.014	-0.029	-0.073	0.053	-0.054	0.039	0.006	0.132	-0.066	-0.024	-0.004	-0.013	0.007	0.103	-0.040	-0.038	-0.001
129	-0.113	-0.016	-0.080	0.023	-0.032	0.043	0.030	0.037	0.007	-0.073	1.000	-0.076	-0.006	0.141	0.042	0.039	-0.072	-0.070	-0.044	-0.105	0.004	0.027	0.012	0.054	-0.052	0.045	0.067	-0.021	0.066	-0.045	-0.025	-0.013	0.119	-0.026	0.126	0.030	0.004	-0.011	-0.050	0.052	-0.013	-0.147	0.050	-0.020	-0.056	0.105	0.140	0.027	-0.013	-0.052	-0.085	0.212	0.040	-0.010	0.036	0.045	-0.010	-0.125	0.083	-0.055	0.068	-0.026	-0.082	-0.091
13	-0.084	-0.058	0.063	0.060	-0.022	0.046	0.021	0.094	-0.020	0.076	-0.076	1.000	0.049	0.026	0.013	-0.020	-0.071	-0.035	0.120	0.003	-0.003	0.048	0.058	-0.204	0.075	0.121	0.092	0.034	0.038	-0.046	0.032	0.021	-0.010	0.007	-0.041	0.051	0.020	0.084	-0.026	0.015	-0.014	0.218	-0.047	-0.052	0.013	-0.056	0.123	-0.020	0.131	-0.003	0.063	0.066	0.110	0.038	-0.032	-0.014	0.017	-0.038	-0.117	0.065	0.069	-0.012	-0.055	-0.082
133	-0.096	0.137	0.072	0.005	-0.054	-0.007	-0.077	0.017	0.024	0.013	-0.006	0.049	1.000	-0.079	0.042	-0.092	-0.046	0.020	0.041	-0.012	0.021	0.087	0.025	-0.063	0.126	-0.064	-0.002	-0.051	-0.047	0.014	0.037	0.023	0.109	-0.005	-0.015	-0.012	-0.079	0.247	0.053	0.016	-0.065	0.098	0.002	-0.025	0.140	-0.074	0.053	-0.030	-0.021	0.134	-0.043	-0.097	0.152	-0.062	0.096	-0.068	0.034	-0.018	0.003	0.151	0.057	0.062	0.109	-0.025
14	-0.048	0.059	-0.016	0.099	0.078	-0.009	0.122	0.055	0.167	-0.070	0.141	0.026	-0.079	1.000	-0.062	0.082	0.001	-0.031	-0.023	-0.043	0.039	-0.012	0.101	-0.239	0.038	0.027	0.174	-0.000	-0.075	0.127	-0.045	0.042	-0.066	0.117	-0.005	0.041	-0.025	0.134	0.023	-0.002	0.068	0.116	-0.050	0.023	0.133	-0.070	-0.017	0.163	0.035	-0.048	-0.049	0.078	0.048	0.054	0.103	0.275	0.022	-0.039	-0.004	0.031	0.026	-0.017	-0.029	-0.026
15	-0.012	-0.006	0.002	0.000	-0.016	-0.005	-0.074	-0.006	-0.018	0.023	0.042	0.013	0.042	-0.062	1.000	0.007	-0.022	-0.019	0.102	0.053	0.007	-0.026	-0.002	-0.050	-0.012	0.014	-0.005	-0.034	0.001	0.012	-0.066	-0.022	-0.035	0.120	-0.007	0.016	-0.023	0.021	0.029	0.040	-0.029	-0.052	-0.018	0.034	-0.053	-0.014	0.037	-0.035	-0.011	0.131	-0.007	0.010	0.004	0.015	-0.015	-0.053	-0.020	-0.039	-0.011	-0.054	-0.062	-0.041	-0.002	-0.038
16	0.055	-0.008	-0.012	-0.019	0.128	-0.018	0.083	0.131	0.006	-0.069	0.039	-0.020	-0.092	0.082	0.007	1.000	-0.017	-0.028	0.000	-0.038	-0.041	-0.025	0.031	-0.341	-0.090	-0.042	0.162	0.161	0.024	0.052	-0.026	-0.006	-0.092	0.029	0.003	-0.000	-0.018	0.080	-0.028	-0.072	-0.025	-0.110	-0.033	-0.043	-0.021	-0.029	-0.010	-0.103	-0.033	-0.126	-0.095	0.019	0.083	0.081	-0.038	-0.057	0.104	-0.055	-0.010	0.017	0.036	-0.002	0.028	-0.079
162	0.153	-0.032	-0.020	-0.041	-0.017	-0.030	-0.025	0.030	-0.033	-0.033	-0.072	-0.071	-0.046	0.001	-0.022	-0.017	1.000	-0.004	-0.014	-0.036	-0.005	-0.033	0.066	-0.062	-0.001	-0.028	-0.031	0.037	-0.023	-0.093	-0.061	-0.024	-0.066	-0.053	-0.027	-0.031	0.027	0.088	-0.010	-0.008	0.024	-0.077	-0.013	-0.029	-0.071	-0.066	-0.005	-0.035	0.034	0.027	-0.063	-0.028	-0.089	0.027	-0.064	-0.046	-0.028	-0.020	-0.035	-0.003	-0.034	-0.011	-0.004	0.094
17	-0.066	-0.049	-0.015	-0.015	-0.046	0.003	-0.081	-0.022	0.018	0.003	-0.070	-0.035	0.020	-0.031	-0.019	-0.028	-0.004	1.000	-0.053	-0.075	0.083	-0.088	0.402	0.141	-0.014	0.003	0.006	-0.032	-0.033	-0.080	0.034	-0.007	-0.025	-0.046	-0.026	-0.043	-0.029	0.092	-0.003	-0.041	-0.039	-0.001	-0.012	-0.001	-0.076	-0.054	-0.041	-0.008	-0.018	-0.073	-0.008	-0.021	-0.019	-0.036	0.006	-0.031	-0.029	-0.058	-0.086	0.019	-0.060	-0.037	-0.025	0.000
178	-0.019	0.007	0.025	0.053	-0.068	0.202	0.036	-0.028	0.118	0.089	-0.044	0.120	0.041	-0.023	0.102	0.000	-0.014	-0.053	1.000	0.002	-0.055	0.094	0.105	-0.076	-0.014	0.078	-0.025	-0.076	-0.013	0.035	0.025	0.030	-0.010	-0.022	0.000	-0.037	-0.057	0.050	0.064	0.108	-0.060	0.021	-0.044	0.093	0.077	-0.059	0.045	0.007	0.208	0.005	0.016	-0.025	0.066	0.034	0.087	-0.005	0.051	0.022	-0.073	0.187	0.054	0.002	0.059	-0.077
18	-0.046	0.042	0.060	0.171	-0.041	-0.019	0.018	-0.029	0.075	-0.013	-0.105	0.003	-0.012	-0.043	0.053	-0.038	-0.036	-0.075	0.002	1.000	-0.051	0.005	-0.002	-0.106	-0.004	-0.111	-0.005	0.013	0.115	0.058	-0.079	-0.044	-0.061	-0.056	0.133	0.069	0.207	-0.022	0.137	-0.005	0.233	-0.070	0.048	0.042	0.017	0.041	-0.008	0.030	-0.146	-0.022	0.063	-0.024	-0.033	-0.051	-0.106	0.028	0.012	0.007	0.125	-0.052	-0.050	-0.029	-0.055	0.004
